Strategy,Scenario,Agent_ID,Initial_Health_Factor,Target_Health_Factor,Final_Health_Factor,Survived,Rebalancing_Events,Cost_of_Rebalancing,Total_Slippage_Costs,Yield_Tokens_Sold,Final_Net_Position,Liquidation_Events,Cost_of_Liquidation,Liquidation_Penalties,Collateral_Lost
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run1_agent13,1.4265950514764898,1.01,1.0861777435835875,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run1_agent14,1.3302204416556702,1.01,1.012800259114126,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent0,1.3225607637763481,1.01,1.0194516475952002,True,0.0,0.06700671090948163,0.0,0.0,99999.93299328908,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent1,1.362591602731379,1.01,1.0503080784262493,True,0.0,0.020924207230564207,0.0,0.0,99999.97907579277,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent2,1.4586109849437818,1.01,1.1243214017294503,True,0.0,0.11382086522644386,0.0,0.0,99999.88617913477,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent3,1.2529996932586331,1.01,1.588414585881259,True,1.0,12.512426867534035,231.16570484224712,12512.426867534035,99987.48757313247,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent4,1.267547856173444,1.01,1.6482678218384677,True,1.0,12.850895775533049,241.75546032010988,12850.895775533048,99987.14910422446,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent5,1.2087291759804333,1.01,1.3892910722583078,True,1.0,10.899518884385827,183.84022668166375,10899.518884385827,99989.10048111562,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent6,1.234995160032859,1.01,1.5088712893417249,True,1.0,11.95453658372727,214.20943159924275,11954.53658372727,99988.04546341627,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent7,1.2026416877661201,1.01,1.364911998636362,True,1.0,10.670628909450876,177.54450781594454,10670.628909450876,99989.32937109056,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent8,1.2470071005250092,1.01,1.5808178388456882,True,1.0,12.572556339366892,233.03030342403716,12572.556339366893,99987.42744366064,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent9,1.3541139625508027,1.01,1.04377337356692,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent10,1.4968478731132653,1.01,1.1537950257102425,True,0.0,0.07316805769369239,0.0,0.0,99999.92683194231,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent11,1.4080530784294314,1.01,1.0853505336176132,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent12,1.3135279713369843,1.01,1.888767225381653,True,1.0,14.128115504866917,283.7735298049053,14128.115504866917,99985.87188449514,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent13,1.321514320595777,1.01,1.0186450319343046,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run2_agent14,1.4073928885237137,1.01,1.0848416483508314,True,0.0,0.08350944754783995,0.0,0.0,99999.91649055245,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent0,1.2815626243152272,1.01,1.7355335328171366,True,1.0,13.571548547078171,265.0636604582712,13571.548547078171,99986.42845145293,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent1,1.3464084623552723,1.01,1.0305213599522358,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent2,1.22456380271135,1.01,1.4602924125628505,True,1.0,11.699428810782804,206.66257745977572,11699.428810782803,99988.30057118922,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent3,1.3016200460976208,1.01,1.8166374178592615,True,1.0,13.878140624531436,275.2938225798756,13878.140624531436,99986.12185937547,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent4,1.2217000823116062,1.01,1.4369656672447901,True,1.0,11.435660179527236,198.99596184756368,11435.660179527236,99988.56433982047,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent5,1.2033109101239698,1.01,1.3571015936899224,True,1.0,10.682203600803907,177.8603669525434,10682.203600803907,99989.31779639919,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent6,1.2851550887696306,1.01,1.7403985643089859,True,1.0,13.533611253616364,263.8108251850189,13533.611253616364,99986.46638874638,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent7,1.2353119096674083,1.01,1.5062417891996944,True,1.0,12.05478820435096,217.2106941219086,12054.78820435096,99987.94521179565,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent8,1.2933114674436001,1.01,1.763741382121128,True,1.0,13.570135402741471,265.0169415406408,13570.13540274147,99986.42986459726,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent9,1.423041237851912,1.01,1.089174966364933,True,0.0,0.024476355516526382,0.0,0.0,99999.97552364448,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent10,1.2107267146538077,1.01,1.392579319252943,True,1.0,11.053325538967176,188.12943068777668,11053.325538967176,99988.94667446104,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent11,1.3874812671541414,1.01,1.0619578844853195,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent12,1.2405033482721122,1.01,1.5125718194627191,True,1.0,12.004339575620724,215.69789359459884,12004.339575620725,99987.99566042438,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent13,1.4385213730396749,1.01,1.101023235602659,True,0.0,0.064998916706827,0.0,0.0,99999.9350010833,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run3_agent14,1.4210902873146307,1.01,1.0876817373359344,True,0.0,0.20228679321007803,0.0,0.0,99999.79771320679,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent0,1.4664804229357464,1.01,1.1577107482878983,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent1,1.3199983187913038,1.01,1.042070673079558,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent2,1.3765860548322697,1.01,1.0867437755712748,True,0.0,0.1613489111769013,0.0,0.0,99999.83865108882,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent3,1.4579360020628285,1.01,1.150965368173877,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent4,1.2685617610093802,1.01,1.6963294559820319,True,1.0,12.916319924451797,243.82874597632755,12916.319924451796,99987.08368007555,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent5,1.354715185207056,1.01,1.069477850678241,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent6,1.3751191456720817,1.01,1.0855857263570126,True,0.0,0.1546647534123622,0.0,0.0,99999.84533524659,,,,
