date,symbol,avg_variableRate,avg_supplyRate
2022-05-13 00:00:00.000 UTC,USDC,0.03438247204629497,0.024207223002058523
2022-08-28 00:00:00.000 UTC,USDC,0.014071753993283403,0.004310196022402647
2021-01-10 00:00:00.000 UTC,USDC,0.06044013277906863,0.06339493981645272
2022-06-29 00:00:00.000 UTC,USDC,0.018119011825467067,0.006882457093292776
2022-07-22 00:00:00.000 UTC,USDC,0.014815145865786805,0.004769468791561341
2021-07-10 00:00:00.000 UTC,USDC,0.030873898714419777,0.01989213361898507
2022-04-11 00:00:00.000 UTC,USDC,0.03507354192351751,0.025248482979552726
2023-05-30 00:00:00.000 UTC,USDC,0.034844508410998364,0.025247672663876983
2021-10-28 00:00:00.000 UTC,USDC,0.06258921494819199,0.05168747543053597
2022-10-01 00:00:00.000 UTC,USDC,0.01579384301605441,0.0053545590788162895
2023-03-20 00:00:00.000 UTC,USDC,0.023302571361231265,0.011586515508942756
2023-05-21 00:00:00.000 UTC,USDC,0.035705595183868094,0.0264822381371776
2021-01-15 00:00:00.000 UTC,USDC,0.13628649368636928,0.08976293951360385
2022-05-16 00:00:00.000 UTC,USDC,0.032820185196941985,0.022051538959069538
2023-06-21 00:00:00.000 UTC,USDC,0.037329017062884155,0.02892252724695614
2023-06-11 00:00:00.000 UTC,USDC,0.0342593919175547,0.0244799555542552
2021-10-04 00:00:00.000 UTC,USDC,0.0710438844190463,0.058294282473818286
2021-04-21 00:00:00.000 UTC,USDC,0.05018044453568143,0.06513379142064946
2022-08-02 00:00:00.000 UTC,USDC,0.01714452771928379,0.0062583649188322635
2023-05-04 00:00:00.000 UTC,USDC,0.03824124337387358,0.03027580029431551
2022-06-24 00:00:00.000 UTC,USDC,0.017477618357373537,0.0064197043297500025
2022-04-12 00:00:00.000 UTC,USDC,0.034955375207006305,0.02505162164005375
2021-12-10 00:00:00.000 UTC,USDC,0.03842761321221183,0.031399248763672255
2022-03-08 00:00:00.000 UTC,USDC,0.027857556674696946,0.016101516782966608
2022-04-07 00:00:00.000 UTC,USDC,0.03398685349369262,0.023683952427977797
2023-01-26 00:00:00.000 UTC,USDC,0.028470975044164473,0.016913853018727176
2020-12-10 00:00:00.000 UTC,USDC,0.12413125805938602,0.07295820649548353
2022-06-21 00:00:00.000 UTC,USDC,0.0195084733720499,0.007959453167050098
2021-06-22 00:00:00.000 UTC,USDC,0.03119416472935599,0.020246958210113266
2022-03-24 00:00:00.000 UTC,USDC,0.03182556170274818,0.020952095780781388
2023-01-04 00:00:00.000 UTC,USDC,0.02383206632978114,0.011989417211039643
2022-07-10 00:00:00.000 UTC,USDC,0.018241364476933725,0.00703297698253945
2021-12-08 00:00:00.000 UTC,USDC,0.03902828294966151,0.03230883055584812
2022-05-12 00:00:00.000 UTC,USDC,0.02868444790684751,0.01716787708907052
2021-08-07 00:00:00.000 UTC,USDC,0.034094325350202764,0.023978211164071048
2022-10-30 00:00:00.000 UTC,USDC,0.021095578297963765,0.009418683347873017
2022-02-12 00:00:00.000 UTC,USDC,0.029341726183591852,0.01785181077576752
2022-08-27 00:00:00.000 UTC,USDC,0.014556287515887563,0.0045922599286734875
2022-02-22 00:00:00.000 UTC,USDC,0.026713308025513055,0.014859193928794465
2021-07-29 00:00:00.000 UTC,USDC,0.03260929432419809,0.021922448692690697
2023-03-25 00:00:00.000 UTC,USDC,0.02866059686517424,0.017251259545034092
2021-05-31 00:00:00.000 UTC,USDC,0.03078596686258681,0.020015817476942144
2021-07-12 00:00:00.000 UTC,USDC,0.03112110475671374,0.02018784660426221
2023-03-04 00:00:00.000 UTC,USDC,0.030913631471040752,0.01991448987227058
2022-02-11 00:00:00.000 UTC,USDC,0.0311146985470101,0.0200398109012099
2021-07-28 00:00:00.000 UTC,USDC,0.032629193151970444,0.021946912415773706
2021-10-07 00:00:00.000 UTC,USDC,0.0832784725887,0.06832568944523679
2021-03-18 00:00:00.000 UTC,USDC,0.27016268110004915,0.13501958845064524
2022-08-18 00:00:00.000 UTC,USDC,0.014742397296356433,0.00470124782954672
2022-07-26 00:00:00.000 UTC,USDC,0.015613980027766096,0.005240101993136291
2021-09-26 00:00:00.000 UTC,USDC,0.03940125394799285,0.031929409836921156
2020-12-03 00:00:00.000 UTC,USDC,0.055652371497483116,0.026538334906727364
2022-12-09 00:00:00.000 UTC,USDC,0.023923614888339547,0.012096868836088868
2022-10-23 00:00:00.000 UTC,USDC,0.02144043466509069,0.009724775143589402
2022-11-13 00:00:00.000 UTC,USDC,0.026901356806080245,0.015058907444715398
2021-08-24 00:00:00.000 UTC,USDC,0.048924480491394855,0.040071482489460526
2022-02-06 00:00:00.000 UTC,USDC,0.031157958894433454,0.020107185556904952
2021-03-05 00:00:00.000 UTC,USDC,0.03774068578560306,0.05491747759171691
2022-01-28 00:00:00.000 UTC,USDC,0.03324996756533041,0.02292311970203556
2021-11-09 00:00:00.000 UTC,USDC,0.04790278327066087,0.04021788579855871
2020-12-22 00:00:00.000 UTC,USDC,0.19331641098945573,0.10548521945785687
2022-06-26 00:00:00.000 UTC,USDC,0.016778978762415044,0.005922902141084913
2025-05-25 00:00:00.000 UTC,USDC,0.051682633627080775,0.04021849032961318
2025-04-19 00:00:00.000 UTC,USDC,0.04293008171059628,0.02543384106854259
2025-09-03 00:00:00.000 UTC,USDC,0.05708414519416888,0.04151182875490934
2025-03-29 00:00:00.000 UTC,USDC,0.051351004669180314,0.03370204986562686
2024-01-08 00:00:00.000 UTC,USDC,0.09180988928383815,0.07498225786492883
